filenames,10mm,30mm,50mm,offset,target_size
20230424_103657_DOE4-2_no37.csv,61.997,61.999,62.002,-0.012,62
20230424_103827_DOE4-2_no38.csv,61.998,61.999,62.003,-0.012,62
20230424_104007_DOE4-2_no39.csv,61.999,62,62.002,-0.012,62
20230424_104143_DOE4-2_no40.csv,61.998,62.001,62.003,-0.012,62
20230424_104331_DOE4-2_no41.csv,61.998,61.999,62.004,-0.012,62
20230424_104458_DOE4-2_no42.csv,62,62.001,62.004,-0.012,62
20230424_104618_DOE4-2_no43.csv,62,62.001,62.005,-0.012,62
20230424_104750_DOE4-2_no44.csv,62.001,62.002,62.005,-0.012,62
20230424_104946_DOE4-2_no45.csv,62.002,62.003,62.007,-0.012,62
20230424_105119_DOE4-2_no46.csv,62.002,62.006,62.007,-0.012,62
20230424_105248_DOE4-2_no47.csv,62.003,62.005,62.008,-0.012,62
20230424_105417_DOE4-2_no48.csv,62.003,62.005,62.01,-0.012,62
20230424_105554_DOE4-2_no49.csv,62.004,62.007,62.009,-0.012,62
20230424_105727_DOE4-2_no50.csv,62.004,62.006,62.01,-0.012,62
20230428_094040_DOE4-3_no01.csv,57.971,57.975,57.982,-0.012,58
20230428_094354_DOE4-3_no02.csv,57.982,57.983,57.986,-0.004,58
20230428_094529_DOE4-3_no03.csv,57.981,57.983,57.985,-0.004,58
20230428_094647_DOE4-3_no04.csv,57.984,57.985,57.987,-0.004,58
20230428_094811_DOE4-3_no05.csv,57.984,57.985,57.987,-0.004,58
20230428_094934_DOE4-3_no06.csv,57.984,57.985,57.988,-0.004,58
20230428_095104_DOE4-3_no07.csv,57.983,57.985,57.987,-0.004,58
20230428_095239_DOE4-3_no08.csv,57.983,57.987,57.987,-0.004,58
20230428_095418_DOE4-3_no09.csv,57.983,57.986,57.988,-0.004,58
20230428_095559_DOE4-3_no10.csv,57.984,57.986,57.989,-0.004,58
20230428_095736_DOE4-3_no11.csv,57.986,57.986,57.99,-0.004,58
20230428_095901_DOE4-3_no12.csv,57.986,57.987,57.992,-0.004,58
20230428_100033_DOE4-3_no13.csv,57.986,57.987,57.989,-0.004,58
20230428_100158_DOE4-3_no14.csv,57.987,57.987,57.99,-0.004,58
20230428_100325_DOE4-3_no15.csv,57.987,57.988,57.991,-0.004,58
20230428_100455_DOE4-3_no16.csv,57.987,57.989,57.992,-0.004,58
20230428_100622_DOE4-3_no17.csv,57.987,57.989,57.994,-0.004,58
20230428_100753_DOE4-3_no18.csv,57.989,57.989,57.993,-0.004,58
20230428_100950_DOE4-3_no19.csv,57.989,57.99,57.995,-0.004,58
20230428_101216_DOE4-3_no20.csv,57.991,57.992,57.996,-0.004,58
20230428_101336_DOE4-3_no21.csv,57.991,57.993,57.996,-0.004,58
20230428_101514_DOE4-3_no22.csv,57.993,57.995,57.998,-0.004,58
20230428_101643_DOE4-3_no23.csv,57.993,57.995,57.998,-0.004,58
20230428_101804_DOE4-3_no24.csv,57.994,57.996,57.998,-0.004,58
20230428_101931_DOE4-3_no25.csv,57.995,57.995,57.999,-0.004,58
20230428_102421_DOE4-3_no26.csv,57.993,57.998,57.999,-0.004,58
20230428_102549_DOE4-3_no27.csv,57.995,57.996,58,-0.004,58
20230428_102719_DOE4-3_no28.csv,57.994,57.996,57.999,-0.004,58
20230428_102852_DOE4-3_no29.csv,57.995,57.997,57.999,-0.004,58
20230428_103043_DOE4-3_no30.csv,57.995,57.997,57.999,-0.004,58
20230428_103212_DOE4-3_no31.csv,57.995,57.997,58,-0.004,58
20230428_103330_DOE4-3_no32.csv,57.995,57.996,57.999,-0.004,58
20230428_103615_DOE4-3_no33.csv,57.994,57.995,57.999,-0.004,58
20230428_103754_DOE4-3_no34.csv,57.994,57.996,57.999,-0.004,58
20230428_103924_DOE4-3_no35.csv,57.995,57.996,58.001,-0.004,58
20230428_104052_DOE4-3_no36.csv,57.996,57.996,58,-0.004,58
20230428_104232_DOE4-3_no37.csv,57.995,57.997,58.001,-0.004,58
20230428_104406_DOE4-3_no38.csv,57.994,57.997,58.002,-0.004,58
20230428_104535_DOE4-3_no39.csv,57.995,57.997,58.002,-0.004,58
20230428_104707_DOE4-3_no40.csv,57.998,57.999,58.002,-0.004,58
20230428_104844_DOE4-3_no41.csv,57.998,57.999,58.002,-0.004,58
20230428_105024_DOE4-3_no42.csv,57.998,58,58.003,-0.004,58
20230428_105148_DOE4-3_no43.csv,57.998,58.001,58.004,-0.004,58
20230428_105354_DOE4-3_no44.csv,57.99,57.991,57.994,-0.014,58
20230428_105542_DOE4-3_no45.csv,57.989,57.991,57.995,-0.014,58
20230428_105732_DOE4-3_no46.csv,57.989,57.992,57.996,-0.014,58
20230428_110119_DOE4-3_no47.csv,57.99,57.994,57.996,-0.014,58
20230428_110446_DOE4-3_no48.csv,57.992,57.994,57.996,-0.014,58
20230428_110639_DOE4-3_no49.csv,57.99,57.993,57.995,-0.014,58
20230428_110807_DOE4-3_no50.csv,57.99,57.991,57.996,-0.014,58
20230509_093515_DOE4-4_no01.csv,53.989,53.989,53.993,-0.014,54
20230509_093831_DOE4-4_no02.csv,53.99,53.99,53.992,-0.014,54
20230509_093958_DOE4-4_no03.csv,53.988,53.989,53.992,-0.014,54
20230509_094125_DOE4-4_no04.csv,53.989,53.99,53.993,-0.014,54
20230509_094249_DOE4-4_no05.csv,53.99,53.99,53.992,-0.014,54
20230509_094413_DOE4-4_no06.csv,53.988,53.988,53.993,-0.014,54
20230509_094540_DOE4-4_no07.csv,53.989,53.99,53.992,-0.014,54
20230509_094706_DOE4-4_no08.csv,53.989,53.991,53.992,-0.014,54
20230509_094847_DOE4-4_no09.csv,53.989,53.99,53.993,-0.014,54
20230509_095013_DOE4-4_no10.csv,53.989,53.99,53.993,-0.014,54
20230509_100027_DOE4-4_no11.csv,53.99,53.991,53.995,-0.014,54
20230509_100150_DOE4-4_no12.csv,53.991,53.991,53.996,-0.014,54
20230509_100331_DOE4-4_no13.csv,53.989,53.992,53.994,-0.014,54
20230509_100505_DOE4-4_no14.csv,53.991,53.994,53.995,-0.014,54
20230509_100635_DOE4-4_no15.csv,53.992,53.994,53.997,-0.014,54
20230509_100915_DOE4-4_no16.csv,53.994,53.997,53.999,-0.014,54
20230509_101123_DOE4-4_no17.csv,53.995,53.998,53.999,-0.014,54
20230509_101303_DOE4-4_no18.csv,53.995,53.997,53.999,-0.014,54
20230509_101446_DOE4-4_no19.csv,53.995,53.996,54,-0.014,54
20230509_101619_DOE4-4_no20.csv,53.997,53.998,54,-0.014,54
20230509_101924_DOE4-4_no21.csv,53.996,53.998,54,-0.014,54
20230509_102102_DOE4-4_no22.csv,53.996,53.997,54,-0.014,54
20230509_102234_DOE4-4_no23.csv,53.997,53.999,54.001,-0.014,54
20230509_102417_DOE4-4_no24.csv,53.996,53.997,54.002,-0.014,54
20230509_102550_DOE4-4_no25.csv,53.997,53.998,54.001,-0.014,54
20230509_103005_DOE4-4_no26.csv,53.997,53.999,54.002,-0.014,54
20230509_103151_DOE4-4_no27.csv,53.997,53.997,54.002,-0.014,54
20230509_103321_DOE4-4_no28.csv,53.997,53.998,54.001,-0.014,54
20230509_103522_DOE4-4_no29.csv,53.999,53.999,54.002,-0.014,54
20230509_103702_DOE4-4_no30.csv,53.999,54.001,54.003,-0.014,54
20230509_103837_DOE4-4_no31.csv,54.002,53.999,54.003,-0.014,54
20230509_104010_DOE4-4_no32.csv,54.002,53.999,54.003,-0.014,54
20230509_104158_DOE4-4_no33.csv,54,54.002,54.003,-0.014,54
20230509_104331_DOE4-4_no34.csv,54,54.001,54.004,-0.014,54
20230509_104506_DOE4-4_no35.csv,53.998,54,54.002,-0.014,54
20230509_104643_DOE4-4_no36.csv,54,53.999,54.004,-0.014,54
20230509_105017_DOE4-4_no37.csv,53.999,54.001,54.004,-0.014,54
