name,No,5mm,30mm,target_size
O6302-20241119133553699,4.0,51.988,51.991,52.0
O6302-20241119133719680,5.0,51.988,51.991,52.0
O6302-20241119133920746,6.0,51.988,51.991,52.0
O6302-20241119134054676,7.0,51.988,51.991,52.0
O6302-20241119134245605,8.0,51.998,52.0,52.0
O6302-20241119134408335,9.0,51.996,51.999,52.0
O6302-20241119134529100,10.0,51.997,52.0,52.0
O6302-20241119135034657,11.0,51.996,52.0,52.0
O6302-20241119135224982,12.0,51.997,52.0,52.0
O6302-20241119135347348,13.0,51.997,52.0,52.0
O6302-20241119135514345,14.0,51.997,52.0,52.0
O6302-20241119135631186,15.0,51.996,52.001,52.0
O6302-20241119135805044,16.0,51.997,52.0,52.0
O6302-20241119135919497,17.0,51.996,52.0,52.0
O6302-20241119140054410,18.0,51.996,52.0,52.0
O6302-20241119140214220,19.0,51.996,52.0,52.0
O6302-20241119140322858,20.0,51.997,52.001,52.0
O6302-20241119140755969,21.0,51.998,52.002,52.0
O6302-20241119140924178,22.0,51.997,52.002,52.0
O6302-20241119141038196,23.0,51.997,52.001,52.0
O6302-20241119141152465,24.0,51.997,52.001,52.0
O6302-20241119141307754,25.0,51.998,52.002,52.0
O6302-20241119141421535,26.0,51.998,52.002,52.0
O6302-20241119141543752,27.0,51.997,52.0,52.0
O6302-20241119141704589,28.0,51.997,52.003,52.0
O6302-20241119141831683,29.0,51.997,52.001,52.0
O6302-20241119142017136,30.0,51.997,52.001,52.0
O6302-20241119142434033,31.0,51.997,52.001,52.0
O6302-20241119142550509,32.0,51.997,52.001,52.0
O6302-20241119142708791,33.0,51.997,52.0,52.0
O6302-20241119142826356,34.0,51.997,52.0,52.0
O6302-20241119142951489,35.0,51.997,52.001,52.0
O6302-20241119143109778,36.0,51.998,52.001,52.0
O6302-20241119143227132,37.0,51.997,52.001,52.0
O6302-20241119143338901,38.0,51.998,52.001,52.0
O6302-20241119143458590,39.0,51.998,52.001,52.0
O6302-20241119143614356,40.0,51.998,52.001,52.0
O6302-20241121135147262,1.0,54.05,54.055,54.0
O6302-20241121135458136,2.0,54.0,54.005,54.0
O6302-20241121135620315,3.0,54.0,54.005,54.0
O6302-20241121135742943,4.0,54.0,54.005,54.0
O6302-20241121135919220,5.0,54.002,54.006,54.0
O6302-20241121140058914,6.0,54.003,54.006,54.0
O6302-20241121140223787,7.0,54.005,54.007,54.0
O6302-20241121140354812,8.0,54.005,54.007,54.0
O6302-20241121140507715,9.0,54.003,54.006,54.0
O6302-20241121140620651,10.0,54.003,54.004,54.0
O6302-20241121141006986,11.0,54.006,54.009,54.0
O6302-20241121141120591,12.0,54.005,54.01,54.0
O6302-20241121141237136,13.0,54.006,54.01,54.0
O6302-20241121141352985,14.0,54.005,54.01,54.0
O6302-20241121141511314,15.0,54.006,54.009,54.0
O6302-20241121141639592,16.0,54.007,54.011,54.0
O6302-20241121141757365,17.0,54.007,54.012,54.0
O6302-20241121141913430,18.0,54.007,54.011,54.0
O6302-20241121142035243,19.0,54.007,54.012,54.0
O6302-20241121142152322,20.0,54.008,54.013,54.0
O6302-20241121142605340,21.0,54.01,54.012,54.0
O6302-20241121142728157,22.0,54.01,54.012,54.0
O6302-20241121142837586,23.0,54.01,54.012,54.0
O6302-20241121143002195,24.0,54.01,54.012,54.0
O6302-20241121143131925,25.0,54.01,54.013,54.0
O6302-20241121143256450,26.0,54.008,54.011,54.0
O6302-20241121143420739,27.0,54.008,54.012,54.0
O6302-20241121143545848,28.0,54.008,54.012,54.0
O6302-20241121143710234,29.0,54.008,54.012,54.0
O6302-20241121143824471,30.0,54.008,54.011,54.0
O6302-20241121144150814,31.0,54.01,54.012,54.0
O6302-20241121144314179,32.0,54.008,54.013,54.0
O6302-20241121144431052,33.0,54.008,54.012,54.0
O6302-20241121144601550,34.0,54.011,54.014,54.0
O6302-20241121144721752,35.0,54.011,54.014,54.0
O6302-20241121144839700,36.0,54.01,54.014,54.0
O6302-20241121144956533,37.0,54.01,54.013,54.0
O6302-20241121145117186,38.0,54.01,54.013,54.0
O6302-20241121145304028,39.0,54.01,54.013,54.0
O6302-20241121145422569,40.0,54.01,54.014,54.0
,13.0,50.001,50.004,50.0
,,,,
