name,No,5mm,30mm,target_size
O6302-20240801094455385(no-signal),4.0,31.998,31.998,32.0
O6302-20240801094720939,5.0,31.998,31.999,32.0
O6302-20240801094838709,6.0,32.0,32.001,32.0
O6302-20240801094952211,7.0,31.999,32.0,32.0
O6302-20240801095104430,8.0,32.0,32.001,32.0
O6302-20240801095218521,9.0,31.999,32.001,32.0
O6302-20240801095335211,10.0,32.0,32.001,32.0
O6302-20240801095907273,11.0,32.0,32.001,32.0
O6302-20240801100019920,12.0,31.999,32.002,32.0
O6302-20240801100121835,13.0,31.999,32.0,32.0
O6302-20240801100227150,14.0,32.001,32.003,32.0
O6302-20240801100330080,15.0,32.001,32.002,32.0
O6302-20240801100444291,16.0,31.999,32.001,32.0
O6302-20240801100553730,17.0,31.999,32.001,32.0
O6302-20240801100705640,18.0,32.0,32.002,32.0
O6302-20240801100816180,19.0,32.001,32.003,32.0
O6302-20240801101023338,20.0,32.001,32.004,32.0
O6302-20240801101701218,21.0,32.001,32.003,32.0
O6302-20240801101806292(no-signal),22.0,32.001,32.003,32.0
O6302-20240801101908731,23.0,32.0,32.001,32.0
O6302-20240801102012139,24.0,31.999,32.001,32.0
O6302-20240801102115897,25.0,31.999,32.001,32.0
O6302-20240801102225196,26.0,32.0,32.001,32.0
O6302-20240801102327131,27.0,32.0,32.002,32.0
O6302-20240801102532276,28.0,32.001,32.002,32.0
O6302-20240801102647239,29.0,31.999,32.0,32.0
O6302-20240801102757074,30.0,32.001,32.002,32.0
O6302-20240801103217481,31.0,32.002,32.004,32.0
O6302-20240801103320043,32.0,32.0,32.001,32.0
O6302-20240801103539913,33.0,32.001,32.002,32.0
O6302-20240801103650152,34.0,31.999,32.0,32.0
O6302-20240801103754612,35.0,31.999,32.003,32.0
O6302-20240801103855637,36.0,32.001,32.002,32.0
O6302-20240801104003873,37.0,32.0,32.001,32.0
O6302-20240801104103795,38.0,31.999,32.0,32.0
O6302-20240801104213314,39.0,32.001,32.0,32.0
O6302-20240801104323028,40.0,32.001,32.004,32.0
O6302-20240806140654097,1.0,34.0,33.999,34.0
O6302-20240806142027294,2.0,33.998,33.998,34.0
O6302-20240806142129968,3.0,33.997,33.998,34.0
O6302-20240806142245711,4.0,33.997,33.998,34.0
O6302-20240806142358442,5.0,33.997,33.999,34.0
O6302-20240806142505480,6.0,33.997,33.998,34.0
O6302-20240806142609899,7.0,33.997,33.997,34.0
